Display Order,Indicator Label,Indicator_Latest_Value,Indicator_Latest_Year,Indicator Lower Value,Indicator Subcategory,Indicator_Target (Fact_Global_WWF_2030_Outcome_Indicators),Indicator Type Key,Indicator Unit,Indicator Upper Value,Indicator Value,Panel_Label_Upper,Practice Key,Practice Name,US_Indicator,Year
100200,"Renewable, Efficient, Universal, & Clean",89.00,2017,,Universal Energy,,OUT2_CE_C,% of population with electricity access,,87.35,ENERGY,521,Climate & Energy,Yes,2016
100200,"Renewable, Efficient, Universal, & Clean","574,204.00",2018,,Coal Plant Pipeline,,OUT2_CE_D,Megawatts of capacity,,842541,ENERGY,521,Climate & Energy,Yes,2016
100200,"Renewable, Efficient, Universal, & Clean",89.00,2017,,Universal Energy,,OUT2_CE_C,% of population with electricity access,,89,ENERGY,521,Climate & Energy,Yes,2017
100200,"Renewable, Efficient, Universal, & Clean","574,204.00",2018,,Coal Plant Pipeline,,OUT2_CE_D,Megawatts of capacity,,656190,ENERGY,521,Climate & Energy,Yes,2017
100200,"Renewable, Efficient, Universal, & Clean","574,204.00",2018,,Coal Plant Pipeline,,OUT2_CE_D,Megawatts of capacity,,574204,ENERGY,521,Climate & Energy,Yes,2018
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.55,ENERGY,521,Climate & Energy,Yes,2013
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,17.3,ENERGY,521,Climate & Energy,Yes,2014
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.43,ENERGY,521,Climate & Energy,Yes,2014
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,17.46,ENERGY,521,Climate & Energy,Yes,2015
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.27,ENERGY,521,Climate & Energy,Yes,2015
100200,"Renewable, Efficient, Universal, & Clean",89.00,2017,,Universal Energy,,OUT2_CE_C,% of population with electricity access,,87.03,ENERGY,521,Climate & Energy,Yes,2015
100200,"Renewable, Efficient, Universal, & Clean",89.00,2017,,Universal Energy,,OUT2_CE_C,% of population with electricity access,,83.54,ENERGY,521,Climate & Energy,Yes,2010
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.62,ENERGY,521,Climate & Energy,Yes,2011
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.76,ENERGY,521,Climate & Energy,Yes,2011
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.94,ENERGY,521,Climate & Energy,Yes,2012
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.67,ENERGY,521,Climate & Energy,Yes,2012
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,17.15,ENERGY,521,Climate & Energy,Yes,2013
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.46,ENERGY,521,Climate & Energy,Yes,2008
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.92,ENERGY,521,Climate & Energy,Yes,2008
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.94,ENERGY,521,Climate & Energy,Yes,2009
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.89,ENERGY,521,Climate & Energy,Yes,2009
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.67,ENERGY,521,Climate & Energy,Yes,2010
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,5.9,ENERGY,521,Climate & Energy,Yes,2010
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.32,ENERGY,521,Climate & Energy,Yes,2005
100200,"Renewable, Efficient, Universal, & Clean",89.00,2017,,Universal Energy,,OUT2_CE_C,% of population with electricity access,,80.37,ENERGY,521,Climate & Energy,Yes,2005
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.54,ENERGY,521,Climate & Energy,Yes,2006
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.18,ENERGY,521,Climate & Energy,Yes,2006
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.35,ENERGY,521,Climate & Energy,Yes,2007
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.02,ENERGY,521,Climate & Energy,Yes,2007
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.52,ENERGY,521,Climate & Energy,Yes,2002
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.89,ENERGY,521,Climate & Energy,Yes,2003
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.5,ENERGY,521,Climate & Energy,Yes,2003
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.55,ENERGY,521,Climate & Energy,Yes,2004
100200,"Renewable, Efficient, Universal, & Clean",5.27,2015,,Energy Intensity,,OUT2_CE_B,MJ/2011 USD PPP,,6.45,ENERGY,521,Climate & Energy,Yes,2004
100200,"Renewable, Efficient, Universal, & Clean",17.46,2015,,Renewable Energy,,OUT2_CE_A,% of total energy consumption,,16.5,ENERGY,521,Climate & Energy,Yes,2005
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,1,ADAPTATION,521,Climate & Energy,Yes,2005
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,4,ADAPTATION,521,Climate & Energy,Yes,2007
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,9,ADAPTATION,521,Climate & Energy,Yes,2008
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,10,ADAPTATION,521,Climate & Energy,Yes,2009
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,12,ADAPTATION,521,Climate & Energy,Yes,2010
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,15,ADAPTATION,521,Climate & Energy,Yes,2011
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,43,ADAPTATION,521,Climate & Energy,Yes,2018
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,44,ADAPTATION,521,Climate & Energy,Yes,2019
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,100,OUT3_CE_A,Number of countries,,,ADAPTATION,521,Climate & Energy,Yes,2030
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,21,ADAPTATION,521,Climate & Energy,Yes,2012
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,26,ADAPTATION,521,Climate & Energy,Yes,2013
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,28,ADAPTATION,521,Climate & Energy,Yes,2014
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,33,ADAPTATION,521,Climate & Energy,Yes,2015
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,37,ADAPTATION,521,Climate & Energy,Yes,2016
100300,"National Adaptation Plans, or equivalent",44.00,2019,,,,OUT3_CE_A,Number of countries,,39,ADAPTATION,521,Climate & Energy,Yes,2017
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,3.37,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2001
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,4.25,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2002
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,3.92,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2003
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,5.54,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2004
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,5.17,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2005
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,4.59,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2006
200100,Terrestrial & Mangrove Habitat Conversion,,9999,,Aquaculture Driven Mangrove Cover Loss,,OUT1_FD_D,M ha per year,,,HABITAT CONVERSION FOR FOOD,522,Food,Yes,
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,3.95,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2013
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,5.47,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2014
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,4.68,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2015
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,0,OUT1_FD_C,M ha per year,,,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2030
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,4.86,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2007
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,4.81,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2008
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,4.89,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2009
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,5.16,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2010
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,4.84,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2011
200100,Terrestrial & Mangrove Habitat Conversion,4.68,2015,,Commodity Driven Forest Cover Loss,,OUT1_FD_C,M ha per year,,6.26,HABITAT CONVERSION FOR FOOD,522,Food,Yes,2012
200200,Loss Index and Kilograms Wasted,0.00,2011,,Per Capita Global Food Loss,,OUT2_FD_A,% reduction since 2011 baseline,,0,FOOD LOSS & WASTE,522,Food,Yes,2011
200200,Loss Index and Kilograms Wasted,0.00,2011,,Per Capita Global Food Waste,,OUT2_FD_B,% reduction since 2011 baseline,,0,FOOD LOSS & WASTE,522,Food,Yes,2011
200200,Loss Index and Kilograms Wasted,0.00,2011,,Per Capita Global Food Loss,50,OUT2_FD_A,% reduction since 2011 baseline,,,FOOD LOSS & WASTE,522,Food,Yes,2030
200200,Loss Index and Kilograms Wasted,0.00,2011,,Per Capita Global Food Waste,50,OUT2_FD_B,% reduction since 2011 baseline,,,FOOD LOSS & WASTE,522,Food,Yes,2030
200300,Global Food Plate*,,9999,,(under development by members of Food Practice & WWF-UK),,OUT3_FD_A,% matched to EAT-Lancet diet,,,HEALTHY DIETS,522,Food,Yes,
300100,Effective Protection & Management,,9999,,Reduced Degradation* & FSC Certification,,OUT1_FR_A,% of total forest area,,,RESILIENT FORESTS,523,Forests,Yes,
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,3.37,HALT DEFORESTATION,523,Forests,Yes,2001
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,4.25,HALT DEFORESTATION,523,Forests,Yes,2002
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,3.92,HALT DEFORESTATION,523,Forests,Yes,2003
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,5.54,HALT DEFORESTATION,523,Forests,Yes,2004
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,5.17,HALT DEFORESTATION,523,Forests,Yes,2005
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,4.59,HALT DEFORESTATION,523,Forests,Yes,2006
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,3.95,HALT DEFORESTATION,523,Forests,Yes,2013
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,5.47,HALT DEFORESTATION,523,Forests,Yes,2014
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,4.68,HALT DEFORESTATION,523,Forests,Yes,2015
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,0,OUT2_FR_A,M ha per year,,,HALT DEFORESTATION,523,Forests,Yes,2030
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,4.86,HALT DEFORESTATION,523,Forests,Yes,2007
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,4.81,HALT DEFORESTATION,523,Forests,Yes,2008
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,4.89,HALT DEFORESTATION,523,Forests,Yes,2009
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,5.16,HALT DEFORESTATION,523,Forests,Yes,2010
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,4.84,HALT DEFORESTATION,523,Forests,Yes,2011
300200,Commodity Driven Forest Cover Loss,4.68,2015,,,,OUT2_FR_A,M ha per year,,6.26,HALT DEFORESTATION,523,Forests,Yes,2012
400100,Effectively Managed (METT Assessed)*,2.68,2018,,,,OUT1_OC_A,% of total MPA area,,2.681095289,HEALTHY & PRODUCTIVE ECOSYSTEMS,524,Oceans,Yes,2018
400100,Effectively Managed (Meets Score Threshold)*,0.01,2018,,,,OUT1_OC_B,% of assessed area,,0.012815515,HEALTHY & PRODUCTIVE ECOSYSTEMS,524,Oceans,Yes,2018
400100,Effectively Managed (METT Assessed)*,2.68,2018,,,100,OUT1_OC_A,% of total MPA area,,,HEALTHY & PRODUCTIVE ECOSYSTEMS,524,Oceans,Yes,2030
400100,Effectively Managed (Meets Score Threshold)*,0.01,2018,,,100,OUT1_OC_B,% of assessed area,,,HEALTHY & PRODUCTIVE ECOSYSTEMS,524,Oceans,Yes,2030
400200,,,9999,,(under development by Oceans Practice),,OUT2_OC_A,,,,SUSTAINABLE FISHERIES,524,Oceans,Yes,
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,0.7471721,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1974
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,2.3063321,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1975
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,4.9289801,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1976
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,5.5925801,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1977
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,5.6421711,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1978
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,5.7188269,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1979
500100,Species Recovery & Habitat Protection,16.00,2017,,River Protection,32,OUT1_FW_B,% of global river length,,,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2030
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,459,OUT1_FW_C,M ha,,,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2030
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,221.3253515,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2015
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,221.54327418,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2016
500100,Species Recovery & Habitat Protection,16.00,2017,,River Protection,,OUT1_FW_B,% of global river length,,16,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2017
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,229.67100955,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2017
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,251.01350421,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2018
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,251.43963521,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2019
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,197.65866594,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2010
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,200.7363637,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2011
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,206.47102641,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2012
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,216.74910803,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2013
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,218.63869388,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2014
500100,Species Recovery & Habitat Protection,0.00,2015,,Stable or Increasing Populations,,OUT1_FW_A,Change in FW LPI since 2015,,0,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2015
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,132.65089322,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2004
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,144.58447541,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2005
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,156.87993057,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2006
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,169.22572825,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2007
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,187.41306258,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2008
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,195.56741123,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2009
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,73.95905341,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1998
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,76.26087841,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1999
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,82.60402914,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2000
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,93.82841739,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2001
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,113.91735941,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2002
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,117.49317254,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,2003
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,42.74117471,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1992
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,49.12540121,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1993
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,58.59712301,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1994
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,61.83018501,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1995
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,70.14865811,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1996
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,71.75255341,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1997
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,22.70975509,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1986
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,28.74189399,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1987
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,30.34855729,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1988
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,30.66499509,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1989
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,33.85392963,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1990
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,37.35493863,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1991
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,7.7958839,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1980
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,7.9466409,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1981
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,20.1208109,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1982
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,20.1539079,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1983
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,20.9245482,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1984
500100,Species Recovery & Habitat Protection,251.44,2019,,Ramsar Site Area,,OUT1_FW_C,M ha,,21.14220292,HEALTHY HABITATS & SPECIES,525,Freshwater,Yes,1985
